Epoch,Training stage,Head LR used,Layer4 LR used,Head LR next,Layer4 LR next,Train loss,Val loss,Accuracy,Fake precision,Fake recall,Fake F1,Real F1,Macro F1,Weighted F1,ROC-AUC,PR-AUC,Threshold
1,Head only,0.0005,,0.0005,,0.3466326871395111,0.26083709502220154,0.892,0.8726235741444867,0.918,0.8947368421052632,0.8891170431211499,0.8919269426132066,0.8919269426132065,0.9605365,0.9575998392194954,0.52
2,Head only,0.0005,,0.0005,,0.24944908505678176,0.2464871090054512,0.9,0.876647834274953,0.931,0.9030067895247332,0.8968008255933952,0.8999038075590642,0.8999038075590643,0.96519925,0.9634891638812956,0.53
3,Head only,0.0005,,0.0005,,0.21959793626070023,0.2281504728794098,0.90025,0.8643604915794265,0.9495,0.9049320943531094,0.8950828293452537,0.9000074618491816,0.9000074618491815,0.96882625,0.9659551485342611,0.33
4,Layer4 fine-tuning,0.0005,1e-05,0.0005,1e-05,0.1608563121855259,0.13108772986382247,0.949,0.9423645320197044,0.9565,0.9493796526054591,0.9486146095717884,0.9489971310886238,0.9489971310886237,0.98948475,0.9895919220370953,0.45
5,Layer4 fine-tuning,0.0005,1e-05,0.0005,1e-05,0.08719026555493474,0.10274837319552899,0.96025,0.9523341523341523,0.969,0.9605947955390335,0.9598991172761665,0.9602469564075999,0.9602469564076,0.9933949999999999,0.993431898715216,0.48
6,Layer4 fine-tuning,0.0005,1e-05,0.0005,1e-05,0.06062434318810701,0.10342385321483016,0.96525,0.9659489233850777,0.9645,0.9652239179384539,0.9652760429677741,0.965249980453114,0.9652499804531139,0.9950165000000001,0.9950595989661668,0.78
7,Layer4 fine-tuning,0.0005,1e-05,0.0005,1e-05,0.04163492073453963,0.07607169762440026,0.974,0.9716417910447761,0.9765,0.9740648379052369,0.9739348370927319,0.9739998374989844,0.9739998374989843,0.9964317500000001,0.9963374484836135,0.62
8,Layer4 fine-tuning,0.0005,1e-05,0.0005,1e-05,0.03263050789833069,0.10065671782009304,0.973,0.9725274725274725,0.9735,0.9730134932533733,0.9729864932466233,0.9729999932499983,0.9729999932499984,0.9968012499999999,0.9967750621399615,0.9
9,Layer4 fine-tuning,0.0005,1e-05,0.0005,1e-05,0.028103291053464634,0.07532452963571995,0.97625,0.9750623441396509,0.9775,0.9762796504369539,0.9762202753441802,0.976249962890567,0.9762499628905671,0.99681525,0.9967012599411949,0.7
10,Layer4 fine-tuning,0.0005,1e-05,0.0005,1e-05,0.02348346151439473,0.07142892985930667,0.9765,0.9713155291790306,0.982,0.9766285430134262,0.9763700351935646,0.9764992891034954,0.9764992891034954,0.9972202499999999,0.9971463229458846,0.55
11,Layer4 fine-tuning,0.0005,1e-05,0.0005,1e-05,0.02137792263000738,0.06689346526795999,0.97925,0.971007371007371,0.988,0.9794299876084263,0.9790668348045397,0.979248411206483,0.979248411206483,0.9976197499999999,0.9974444264206203,0.51
12,Layer4 fine-tuning,0.0005,1e-05,0.0005,1e-05,0.02032310678437352,0.06836596053768881,0.981,0.9829317269076305,0.979,0.9809619238476954,0.9810379241516967,0.980999923999696,0.9809999239996959,0.99761,0.9976313538876459,0.77
13,Layer4 fine-tuning,0.0005,1e-05,0.00025,5e-06,0.01996866193828755,0.09307370399963111,0.981,0.9829317269076305,0.979,0.9809619238476954,0.9810379241516967,0.980999923999696,0.9809999239996959,0.9980641250000001,0.9980368592056914,0.94
14,Layer4 fine-tuning,0.00025,5e-06,0.00025,5e-06,0.01209620659891516,0.06224942157207988,0.98425,0.9830423940149626,0.9855,0.9842696629213483,0.9842302878598248,0.9842499753905866,0.9842499753905866,0.9987535000000001,0.9987655133463753,0.86
15,Layer4 fine-tuning,0.00025,5e-06,0.00025,5e-06,0.009566796339955181,0.04804623131488916,0.9865,0.9855289421157685,0.9875,0.9865134865134865,0.9864864864864865,0.9864999864999865,0.9864999864999866,0.99894825,0.9989550866445234,0.78
